date,park_name,country,latitude,longitude,species_targeted,incident_type,moon_phase
2026-04-08,Bandipur Tiger Reserve,India,11.67652,76.60723,Asian Elephant,Carcass Found,Full Moon
2026-04-08,Serengeti National Park,Tanzania,-2.45678,34.81781,African Elephant,Snare Discovered,Full Moon
2026-04-08,Kruger National Park,South Africa,-23.83799,31.34792,Pangolin,Gunshots Reported,Full Moon
2026-04-08,Kruger National Park,South Africa,-24.21747,31.40226,White Rhino,Gunshots Reported,Full Moon
2026-04-08,Kaziranga National Park,India,26.57659,93.14281,Bengal Tiger,Gunshots Reported,Full Moon
2026-04-08,Kruger National Park,South Africa,-24.21345,31.60669,Pangolin,Snare Discovered,Full Moon
2026-04-08,Kaziranga National Park,India,26.55437,93.17963,Indian Rhino,Footprints/Tracks,Full Moon
2026-04-07,Kruger National Park,South Africa,-24.03026,31.56857,African Elephant,Gunshots Reported,Full Moon
2026-04-07,Kruger National Park,South Africa,-23.89273,31.48244,Pangolin,Gunshots Reported,Full Moon
2026-04-07,Kaziranga National Park,India,26.54887,93.072,Asian Elephant,Carcass Found,Full Moon
2026-04-07,Kaziranga National Park,India,26.54836,93.14376,Asian Elephant,Gunshots Reported,Full Moon
2026-04-07,Kruger National Park,South Africa,-24.18363,31.67972,White Rhino,Gunshots Reported,Full Moon
2026-04-07,Kaziranga National Park,India,26.55157,93.23262,Asian Elephant,Gunshots Reported,Full Moon
2026-04-06,Kaziranga National Park,India,26.53695,93.14277,Indian Rhino,Carcass Found,Full Moon
2026-04-06,Kruger National Park,South Africa,-23.94364,31.40173,White Rhino,Snare Discovered,Full Moon
2026-04-06,Kruger National Park,South Africa,-24.22599,31.74115,White Rhino,Snare Discovered,Full Moon
2026-04-06,Kruger National Park,South Africa,-24.13933,31.6263,Pangolin,Gunshots Reported,Full Moon
2026-04-05,Kruger National Park,South Africa,-23.83434,31.72704,African Elephant,Snare Discovered,First Quarter
2026-04-05,Kaziranga National Park,India,26.59897,93.22455,Asian Elephant,Footprints/Tracks,First Quarter
2026-04-05,Kaziranga National Park,India,26.47589,93.13808,Asian Elephant,Carcass Found,First Quarter
2026-04-05,Kruger National Park,South Africa,-24.05691,31.61431,African Elephant,Illegal Camp Suspicion,First Quarter
2026-04-05,Kaziranga National Park,India,26.58272,93.12734,Asian Elephant,Snare Discovered,First Quarter
2026-04-05,Kruger National Park,South Africa,-24.17235,31.57744,Pangolin,Gunshots Reported,First Quarter
2026-04-05,Kruger National Park,South Africa,-23.74035,31.46733,African Elephant,Gunshots Reported,First Quarter
2026-04-04,Kaziranga National Park,India,26.56442,93.18919,Indian Rhino,Snare Discovered,First Quarter
2026-04-04,Kaziranga National Park,India,26.55228,93.20172,Indian Rhino,Snare Discovered,First Quarter
2026-04-04,Kruger National Park,South Africa,-24.015,31.53765,African Elephant,Carcass Found,First Quarter
2026-04-03,Kaziranga National Park,India,26.61375,93.16969,Asian Elephant,Carcass Found,First Quarter
2026-04-03,Kaziranga National Park,India,26.62844,93.1668,Asian Elephant,Footprints/Tracks,First Quarter
2026-04-03,Kaziranga National Park,India,26.58826,93.15007,Bengal Tiger,Gunshots Reported,First Quarter
2026-04-03,Kaziranga National Park,India,26.56868,93.12205,Indian Rhino,Gunshots Reported,First Quarter
2026-04-03,Kruger National Park,South Africa,-24.14639,31.51998,African Elephant,Footprints/Tracks,First Quarter
2026-04-03,Kaziranga National Park,India,26.65555,93.24405,Asian Elephant,Gunshots Reported,First Quarter
2026-04-03,Kaziranga National Park,India,26.53389,93.21031,Asian Elephant,Snare Discovered,First Quarter
2026-04-02,Kruger National Park,South Africa,-24.12829,31.50567,African Elephant,Illegal Camp Suspicion,First Quarter
2026-04-02,Kruger National Park,South Africa,-23.88511,31.33598,White Rhino,Footprints/Tracks,First Quarter
2026-04-02,Kaziranga National Park,India,26.54607,93.18928,Bengal Tiger,Footprints/Tracks,First Quarter
2026-04-02,Kruger National Park,South Africa,-24.0656,31.46189,White Rhino,Snare Discovered,First Quarter
2026-04-01,Kaziranga National Park,India,26.60251,93.17266,Bengal Tiger,Carcass Found,First Quarter
2026-04-01,Kruger National Park,South Africa,-23.91764,31.26897,Pangolin,Gunshots Reported,First Quarter
2026-04-01,Kaziranga National Park,India,26.56508,93.1802,Indian Rhino,Footprints/Tracks,First Quarter
2026-04-01,Kaziranga National Park,India,26.54031,93.21997,Bengal Tiger,Footprints/Tracks,First Quarter
2026-04-01,Bandipur Tiger Reserve,India,11.70887,76.66809,Asian Elephant,Snare Discovered,First Quarter
2026-04-01,Kruger National Park,South Africa,-23.94545,31.64695,Pangolin,Illegal Camp Suspicion,First Quarter
2026-04-01,Kaziranga National Park,India,26.57022,93.13823,Indian Rhino,Gunshots Reported,First Quarter
2026-04-01,Jim Corbett National Park,India,29.40415,78.68962,Bengal Tiger,Snare Discovered,First Quarter
2026-03-31,Kaziranga National Park,India,26.52945,93.21081,Asian Elephant,Footprints/Tracks,First Quarter
2026-03-31,Kaziranga National Park,India,26.51037,93.16262,Indian Rhino,Illegal Camp Suspicion,First Quarter
2026-03-30,Kruger National Park,South Africa,-24.19399,31.41001,African Elephant,Snare Discovered,First Quarter
2026-03-30,Kaziranga National Park,India,26.65499,93.15272,Bengal Tiger,Footprints/Tracks,First Quarter
2026-03-30,Kruger National Park,South Africa,-24.01129,31.65239,African Elephant,Gunshots Reported,First Quarter
2026-03-30,Kruger National Park,South Africa,-23.98699,31.6795,White Rhino,Footprints/Tracks,First Quarter
2026-03-30,Jim Corbett National Park,India,29.51935,78.84818,Bengal Tiger,Carcass Found,First Quarter
2026-03-30,Kruger National Park,South Africa,-24.04201,31.43505,African Elephant,Gunshots Reported,First Quarter
2026-03-30,Kaziranga National Park,India,26.6187,93.2042,Asian Elephant,Gunshots Reported,First Quarter
2026-03-30,Kruger National Park,South Africa,-24.1431,31.65966,African Elephant,Footprints/Tracks,First Quarter
2026-03-29,Kruger National Park,South Africa,-23.8072,31.64655,African Elephant,Snare Discovered,First Quarter
2026-03-29,Jim Corbett National Park,India,29.54828,78.77941,Bengal Tiger,Carcass Found,First Quarter
2026-03-28,Kaziranga National Park,India,26.68227,93.12579,Bengal Tiger,Snare Discovered,First Quarter
2026-03-27,Kaziranga National Park,India,26.56003,93.08185,Bengal Tiger,Snare Discovered,First Quarter
2026-03-27,Kruger National Park,South Africa,-23.78224,31.51366,White Rhino,Snare Discovered,First Quarter
2026-03-27,Kruger National Park,South Africa,-23.94672,31.69044,Pangolin,Snare Discovered,First Quarter
2026-03-27,Serengeti National Park,Tanzania,-2.30546,34.46618,African Elephant,Snare Discovered,First Quarter
2026-03-27,Kruger National Park,South Africa,-23.89322,31.52694,African Elephant,Carcass Found,First Quarter
2026-03-27,Kaziranga National Park,India,26.55901,93.25167,Asian Elephant,Snare Discovered,First Quarter
2026-03-27,Serengeti National Park,Tanzania,-2.31273,34.86572,African Lion,Illegal Camp Suspicion,First Quarter
2026-03-26,Kruger National Park,South Africa,-24.01336,31.52027,African Elephant,Gunshots Reported,New Moon
2026-03-26,Kaziranga National Park,India,26.58515,93.07018,Bengal Tiger,Carcass Found,New Moon
2026-03-26,Kruger National Park,South Africa,-24.10406,31.53495,White Rhino,Snare Discovered,New Moon
2026-03-25,Kruger National Park,South Africa,-24.09242,31.59202,White Rhino,Footprints/Tracks,New Moon
2026-03-25,Bandipur Tiger Reserve,India,11.61286,76.53816,Asian Elephant,Footprints/Tracks,New Moon
2026-03-24,Kaziranga National Park,India,26.61979,93.12988,Asian Elephant,Snare Discovered,New Moon
2026-03-24,Kruger National Park,South Africa,-23.74711,31.53778,African Elephant,Footprints/Tracks,New Moon
2026-03-24,Kruger National Park,South Africa,-23.89796,31.53721,Pangolin,Footprints/Tracks,New Moon
2026-03-23,Kruger National Park,South Africa,-24.06062,31.56102,Pangolin,Carcass Found,New Moon
2026-03-23,Kruger National Park,South Africa,-24.01579,31.55622,African Elephant,Gunshots Reported,New Moon
2026-03-23,Kruger National Park,South Africa,-23.95772,31.51982,African Elephant,Footprints/Tracks,New Moon
2026-03-22,Serengeti National Park,Tanzania,-2.30356,35.03929,African Elephant,Carcass Found,New Moon
2026-03-22,Kruger National Park,South Africa,-23.86032,31.90377,White Rhino,Footprints/Tracks,New Moon
2026-03-22,Kaziranga National Park,India,26.57784,93.15187,Bengal Tiger,Footprints/Tracks,New Moon
2026-03-22,Kruger National Park,South Africa,-23.93233,31.55241,Pangolin,Snare Discovered,New Moon
